original_path	new_path	reason	size_bytes	md5
C:\ALL THEORY\NB_STRING_a100_su3_t1pm_tension_pilot.ipynb	C:\ALL THEORY\numerics\notebooks\NB_STRING_a100_su3_t1pm_tension_pilot.ipynb	pattern .*\.ipynb$	38708	2349bdce536418531b0ab10cd7d21b85
C:\ALL THEORY\AGENTS.md	C:\ALL THEORY\QUARANTINE\unrelated\AGENTS.md	unrelated to the mathematics corpus	387	2888dcdfae7d9009268d6d16a91f17e3
C:\ALL THEORY\AUDIT_STRING_batch_verification_sigma_reconciliation_2026-06-14.md	C:\ALL THEORY\QUARANTINE\duplicates_exact\AUDIT_STRING_batch_verification_sigma_reconciliation_2026-06-14.md	byte-identical copy of programs/one_plaquette/su3_string_tension/AUDIT_STRING_batch_verification_sigma_reconciliation_2026-06-14.md	6992	608e695cc5ef359f12e22bb83503a343
C:\ALL THEORY\B_newton_coefficients (1).json	C:\ALL THEORY\QUARANTINE\duplicates_exact\B_newton_coefficients (1).json	byte-identical copy of CERT_MISC_b_newton_coefficients.json	369254	c8638c6e0a52303b02f7b27423eb3d63
C:\ALL THEORY\CERT_MISC_b_newton_coefficients.json	C:\ALL THEORY\numerics\certificates\CERT_MISC_b_newton_coefficients.json	pattern .*\.json$	369254	c8638c6e0a52303b02f7b27423eb3d63
C:\ALL THEORY\THM_FLUX_centered_double_incidence_theorem_2026-08-08.md	C:\ALL THEORY\theory\theorems\THM_FLUX_centered_double_incidence_theorem_2026-08-08.md	pattern .*_(THEOREM|THEOREM_V2|CERTIFICATE)(_.*)?\.md$	7834	f4b21f0165e7dbcfdd7822ae77175491
C:\ALL THEORY\PAPER_SUN_canonical_su_n_wilson_spectral_theory_derivation.docx	C:\ALL THEORY\papers\source_docx\PAPER_SUN_canonical_su_n_wilson_spectral_theory_derivation.docx	pattern .*\.docx$	90938	138a0cfadbb17d1375279b3af3030249
C:\ALL THEORY\PAPER_SUN_canonical_su_n_wilson_theory_full_derivations.docx	C:\ALL THEORY\papers\source_docx\PAPER_SUN_canonical_su_n_wilson_theory_full_derivations.docx	pattern .*\.docx$	60117	4ed615efd99e98a92b2caad137b46d42
C:\ALL THEORY\ChatGPT Installer (1).exe	C:\ALL THEORY\QUARANTINE\unrelated\ChatGPT Installer (1).exe	unrelated to the mathematics corpus	1462848	b75ce3635ff62d76ff092b6aba8294fc
C:\ALL THEORY\ChatGPT Installer (2).exe	C:\ALL THEORY\QUARANTINE\unrelated\ChatGPT Installer (2).exe	unrelated to the mathematics corpus	1462848	8c25bd40551d5135a38c1f35a5c8721a
C:\ALL THEORY\NOTE_O4_determinant_incidence_reduction_2026-08-08.md	C:\ALL THEORY\theory\notes\NOTE_O4_determinant_incidence_reduction_2026-08-08.md	pattern .*\.md$	8277	95308a45f76768bf80e307cf57371adc
