old_path	new_path	size_bytes	md5
numerics/certificates/suN_closed_surface_stage1_certificate.json	numerics/certificates/CERT_SUN_closed_surface_stage1_certificate.json	3468	4807402bbb8d25d9acadef3c97c8899a
numerics/clay_verify/RUN_OUTPUT_2026-06-12.txt	numerics/clay_verify/NOTE_SU2_run_output_2026-06-12.txt	3250	3b68ab4e3486c4268e37a58e2a50f252
numerics/clay_verify/VERIFY_01_Heat_Kernel_Stability.py	numerics/clay_verify/ENGINE_SU2_verify_01_heat_kernel_stability.py	20092	333c4874f61a0a83f1b2369ab48aecd7
numerics/clay_verify/VERIFY_02_Anomaly_Shield.py	numerics/clay_verify/ENGINE_FLUX_verify_02_anomaly_shield.py	4442	041b3200d5dac76ae972c88366211bb3
numerics/clay_verify/VERIFY_03_Continuum_Scaling.py	numerics/clay_verify/ENGINE_FLUX_verify_03_continuum_scaling.py	4658	cffab9237ab19c02baf9d32f214f8577
numerics/cw_extractor/15_CW_extractor(1).ipynb	numerics/cw_extractor/NB_SU3_15_cw_extractor_alt.ipynb	12987	87417591565bc379cf94ce7ddf8eaa65
numerics/data/Y4_STAGEI_AUTHORITY_FIXTURE.xz.b85	numerics/data/DATA_Y4_stagei_authority_fixture.xz.b85	78736	cf683188a7f37963e6f7a7b09f915e7a
numerics/data/glueball_1pm_highN_extrapolation.png	numerics/data/DATA_FLUX_glueball_1pm_highn_extrapolation.png	100305	a2f728717928d13f2902496baadaea5c
numerics/data/glueball_mass_prediction_v1.csv	numerics/data/DATA_FLUX_glueball_mass_prediction_v1.csv	439	3a4d701d940c098fa9d4179390f896ec
numerics/data/glueball_spectrum_lattice_1pm_relevant.csv	numerics/data/DATA_FLUX_glueball_spectrum_lattice_1pm_relevant.csv	1714	c34332b31bb404a50d051a8622a8e335
numerics/data/m3a_stage_c_sparse_L4_q003_preliminary.csv	numerics/data/DATA_MISC_m3a_stage_c_sparse_l4_q003_preliminary.csv	1908	fe23b402bcc2a6cb227d99a296b01b14
numerics/data/shell46_t1_o2_diagnostic_scan.csv	numerics/data/DATA_SHELL6_shell46_t1_o2_diagnostic_scan.csv	58725	47d4de22f29a78be465e9a242408bd54
numerics/data/su6_local_class_matrices_A100_GH25 (1).npz	numerics/data/DATA_SU6_local_class_matrices_a100_gh25_alt.npz	7936	64a33bd22e7d86238dae2b8c9598e78f
