cfg,site,direction,kappa,tangent_corr_max,tangent_corr_mean,conditional_mean,cavity_ratio,rooted_ratio,pair_cov_max_over_q2,pair_cov_rowsum_over_q2,covariance_min_eigenvalue,importance_ess,importance_components
0,66,2,17.556266869787684,0.9646728896162894,0.5864745858722208,5.478967479175283e-08,3.8810577925532554e-05,326.2433999942459,0.01273032871341212,0.01372174301400812,7.199794556437064e-10,186.99291328135982,22
0,193,3,18.092809447395922,0.9404849349893808,0.616724461275906,1.4370066656418438e-07,0.00010236617675427031,321.7890132447452,0.033812268000966456,0.04846343793805503,1.4335551346783592e-09,187.00013654928262,22
0,50,1,17.565041174889224,0.9511796642113015,0.4590935029851455,1.7953368332390624e-06,0.002921751547516366,231.52130634938516,0.09936627441891835,0.10953306272875547,6.067582853461806e-10,187.0035709627665,22
0,21,3,16.726663829056612,0.9783005408052408,0.44725465958147587,0.0009653523368171491,1.849502351170831,311.79066631346984,0.17671388662476864,0.5542947650785992,8.70790650583006e-08,187.16416487103893,22
1,246,3,18.322937645716074,0.9667375711406427,0.4405689577789173,1.929220075125674e-07,0.00033311850064500194,324.0345874961834,0.004244309565539238,0.008046248897890091,3.6006890202755155e-10,187.00039541630647,22
1,179,3,16.995705449558574,0.9633458114240654,0.5329618951050857,0.0008926878764271478,1.7850347038625138,312.12527120866116,0.008239670090410869,0.01568482767155216,7.179441843013652e-09,187.00536589432494,22
1,149,3,17.738554833771182,0.9973564888989525,0.5412173079849392,0.0008746302935576034,1.748352008406528,306.6487723585749,0.005024139429639164,0.01585527876675449,8.582044491215387e-10,187.00134411568396,22
1,81,0,18.043511891763615,0.9851057377266184,0.5643532183767969,3.741932045963294e-08,3.3378120565002404e-05,321.10032446245117,0.007441410980141375,0.009698149770150448,9.292117170435707e-11,187.00004277514262,22
