N_label,N_numeric,gauge_group,inv_N2,J,P,C,JPC,level,mass_over_sqrt_sigma,mass_error,value_type,data_stage,ambiguity_flag,continuum_spin_from_cubic_irreps,source_table,source_pdf_page,source_short,source_url
3,3,SU(3),0.1111111111111111,1,-,-,1--,gs,8.31,0.1,estimate,continuum_extrapolated,none,T1-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,0,+,+,0++,gs,3.271,0.027,estimate,continuum_extrapolated,none,A1++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,0,+,+,0++,ex1,5.827,0.062,estimate,continuum_extrapolated,none,A1++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,+,+,2++,gs,4.742,0.015,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,+,+,2++,ex1,6.694,0.04,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,4,+,+,4++,gs,7.36,0.09,estimate,continuum_extrapolated,likely,A1++ + E++ + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,0,-,+,0-+,gs,5.02,0.046,estimate,continuum_extrapolated,none,A1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,0,-,+,0-+,ex1,7.33,0.11,estimate,continuum_extrapolated,none,A1-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,-,+,2-+,gs,6.182,0.033,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,-,+,2-+,ex1,7.91,0.13,estimate,continuum_extrapolated,likely,E-+ ex1 + T2-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,1,-,+,1-+,gs,8.47,0.11,estimate,continuum_extrapolated,none,T1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,+,-,2+-,gs,8.84,0.11,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,1,+,-,1+-,gs,5.956,0.042,estimate,continuum_extrapolated,none,T1+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,1,+,-,1+-,ex1,7.51,0.08,estimate,continuum_extrapolated,none,T1+- ex2,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,3,+,-,3+-,gs,7.03,0.07,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,2,-,-,2--,gs,7.79,0.09,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
4,4,SU(4),0.0625,1,-,-,1--,gs,7.6,0.09,estimate,continuum_extrapolated,none,T1-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,0,+,+,0++,gs,3.156,0.031,estimate,continuum_extrapolated,none,A1++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,0,+,+,0++,ex1,5.689,0.053,estimate,continuum_extrapolated,none,A1++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,+,+,2++,gs,4.69,0.02,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,+,+,2++,ex1,6.607,0.045,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,3,+,+,3++,gs,7.29,0.09,estimate,continuum_extrapolated,none,A2++ gs + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,4,+,+,4++,gs,7.41,0.1,estimate,continuum_extrapolated,none,A1++ + E++ + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,0,-,+,0-+,gs,4.832,0.04,estimate,continuum_extrapolated,none,A1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
