N_label,N_numeric,gauge_group,inv_N2,J,P,C,JPC,level,mass_over_sqrt_sigma,mass_error,value_type,data_stage,ambiguity_flag,continuum_spin_from_cubic_irreps,source_table,source_pdf_page,source_short,source_url
inf,,SU(infinity),0.0,2,-,+,2-+,ex1,7.936,0.054,estimate,large_N_extrapolated,none,E-+ ex1 + T2-+ ex1,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,-,+,1-+,gs,8.415,0.076,estimate,large_N_extrapolated,none,T1-+ gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,+,-,2+-,gs,8.566,0.076,estimate,large_N_extrapolated,none,E+- gs + T2+- ex1,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,+,-,1+-,gs,5.76,0.025,estimate,large_N_extrapolated,none,T1+- gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,+,-,1+-,ex1,7.473,0.057,estimate,large_N_extrapolated,none,T1+- ex2,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,3,+,-,3+-,gs,6.988,0.041,estimate,large_N_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,-,-,2--,gs,7.91,0.056,estimate,large_N_extrapolated,none,E-- gs + T2-- gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,-,-,1--,gs,7.26,0.11,estimate,large_N_extrapolated,none,T1-- gs,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,+,+,1++,gs,9.14,0.09,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,+,-,0+-,gs,9.26,0.16,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,0,-,-,0--,gs,10.1,0.18,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,+,-,2+-,ex1,9.14,0.15,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,2,-,-,2--,ex1,9.55,0.13,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,1,-,-,1--,ex1,8.65,0.09,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,3,-,+,3-+,gs,9.73,0.12,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,3,-,-,3--,gs,8.61,0.13,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,4,-,+,4-+,gs,8.79,0.1,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,4,+,-,4+-,gs,9.26,0.16,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
inf,,SU(infinity),0.0,4,-,-,4--,gs,10.1,0.18,lower_bound,large_N_extrapolated,none,,38,86,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
