state_JPC,cubic_rep,C_parity,m_over_sqrtsigma,m_over_sqrtsigma_err,mass_MeV,mass_MeV_err,value_kind,method,source_arxiv
0++,A1++,+,3.405,0.021,1651,23,"ratio verbatim; MeV derived (ratio x sqrt_sigma=485(6) MeV)","Euclidean lattice -> continuum",2007.06422
0++,A1++,+,,,1654,83,verbatim,"Monte Carlo, Kogut-Susskind Hamiltonian limit",hep-lat/0503038
2++,E++/T2++,+,,,2272,115,verbatim,"Monte Carlo, Kogut-Susskind Hamiltonian limit",hep-lat/0503038
1+-,T1+-,-,,,2940,165,verbatim,"Monte Carlo, Kogut-Susskind Hamiltonian limit",hep-lat/0503038
