c_load,P_load_W,P_mech_W,P_base_W,P_k_W,dE_dt_W,balance_error_W,P_diss_total_W,P_in_total_W,eta_load_over_total_in,eta_load_over_base_only
0.0,0.0,0.24042910978036575,0.13971041548001942,0.1006574482698589,-1.7028700442667244e-08,-6.12290017869832e-05,0.24042910978036575,0.2403678637498783,0.0,0.0
1.0,0.23813696897301526,0.23813696897301526,0.27698562107365243,0.19920948925143614,-1.0672417033452674e-12,-7.882761987471065e-05,0.4762739379460305,0.47619511032508854,0.5000827681965152,0.859744877910803
2.0,0.4688222081623204,0.2344111040811602,0.4095112147152985,0.2936708654169495,-1.2755942635500616e-12,-5.123210995705563e-05,0.7032333122434806,0.7031820801322479,0.6667152383549773,1.1448336243691306
3.0,0.6881200331439059,0.22937334438130505,0.5351712838187289,0.382223476684511,-1.674726882172628e-12,-9.86170202962322e-05,0.917493377525211,0.91739476050324,0.7500806226170676,1.2857940138973958
4.0,0.8927216657886929,0.22318041644717324,0.652403818030891,0.46344290420299583,-2.104272525671469e-12,-5.5359999875159716e-05,1.1159020822358663,1.1158467222338868,0.8000396900404877,1.3683575128102992
5.0,1.0801183356556414,0.2160236671311271,0.7598189031363222,0.5362459583973781,-2.277853933252416e-12,-7.714125079028022e-05,1.2961420027867685,1.2960648615337003,0.8333829329941727,1.4215470702258286
6.0,1.2485458636070579,0.20809097726784262,0.8566003475181057,0.599941735995665,-2.313287372768258e-12,-9.475735881636638e-05,1.4566368408749004,1.4565420835137708,0.8571986197577336,1.4575593708601289
7.0,1.3970731417300615,0.19958187739000724,0.9423199193191228,0.6542571436546111,-2.4936032100297823e-12,-7.795614384131788e-05,1.5966550191200688,1.596577062973734,0.8750427236677929,1.482588994552426
8.0,1.5254411980346443,0.19068014975433054,1.0168621615258442,0.699176982083813,-2.736467277775212e-12,-8.220417658111323e-05,1.7161213477889747,1.7160391436096571,0.8889314697250474,1.5001455022632133
9.0,1.6340333145254549,0.1815592571694989,1.0805130612028833,0.7349864127688582,-2.6089636423476394e-12,-9.30977206032857e-05,1.8155925716949537,1.8154994739717414,0.9000461514597436,1.5122753932343622
10.0,1.723665252825221,0.1723665252825198,1.1336962335860261,0.7622271662267845,-2.5724131158533225e-12,-0.00010837829235765817,1.8960317781077407,1.8959233998128107,0.9091428762340308,1.5203942659075858
11.0,1.795499500097531,0.16322722728159375,1.1770838696985593,0.7815346534819215,-2.4917590824014014e-12,-0.00010820419615220622,1.9587267273791247,1.9586185231804807,0.9167173080656509,1.5253794112031647
12.0,1.8509249164419206,0.1542437430368255,1.2114141593280525,0.793655515439472,-2.39656515743647e-12,-9.898470882507837e-05,2.005168659478746,2.0050696747675243,0.9231224928163776,1.5279043109984713
13.0,1.8914005197369534,0.14549234767207495,1.2374460494768895,0.799367822270995,-2.3336141685703636e-12,-7.899565881031023e-05,2.0368928674090285,2.0368138717478845,0.9286074422273327,1.52847109620376
14.0,1.9183761195900395,0.1370268656850007,1.255916045880015,0.7993920090787411,-2.1712016379238364e-12,-9.493031411311748e-05,2.05540298527504,2.055308054958756,0.9333764420188271,1.5274716219154933
15.0,1.933144048145917,0.12887626987639642,1.2674641852906612,0.794466516333407,-2.0506725456614914e-12,-8.961639619409212e-05,2.0620203180223133,2.0619307016240684,0.9375407459733185,1.525206053615313
16.0,1.9366485366932458,0.12104053354332786,1.2724568607301059,0.7851494031251164,-1.9037534743082672e-12,-8.28063794475753e-05,2.0576890702365738,2.0576062638552224,0.9412143473283636,1.5219757906622016
17.0,1.9292539140175526,0.11348552435397594,1.270811778984444,0.7718439973840017,-1.7432033566633365e-12,-8.366200133957946e-05,2.0427394383715285,2.042655776368446,0.9444831264950055,1.5181271891887058
18.0,1.9109629941358068,0.10616461078532434,1.2621434307036286,0.7549030531871627,-1.5831634503360448e-12,-8.11210287570141e-05,2.0171276049211313,2.017046483890791,0.9474065220597425,1.5140616729039027
19.0,1.8825676238491968,0.09908250651837967,1.2466176547463015,0.7349610893462174,-1.4493879069155114e-12,-7.138627360814276e-05,1.9816501303675764,1.981578744092519,0.9500342237024423,1.5101403519207477
20.0,1.8464949088622837,0.09232474544311596,1.225679664340053,0.7130679161168623,-1.3012004668189192e-12,-7.207384718332932e-05,1.9388196543053997,1.9387475804569152,0.9524163575884955,1.5065069304682464
