[  325.8s] N=32: beta_assembled = 43331745206905634867576500357927142586984071872567/2165300189810764271053542189012016419155400677433367379850 ; corpus = 43331745206905634867576500357927142586984071872567/2165300189810764271053542189012016419155400677433367379850 ; equal = True ; pair_normal = 0 (9.3s)
[  335.4s] N=33: beta_assembled = 4367789741584979044188778169238760001485230031/270768879857044652573813053242106968442445152749772800 ; corpus = 4367789741584979044188778169238760001485230031/270768879857044652573813053242106968442445152749772800 ; equal = True ; pair_normal = 0 (9.6s)
[  344.7s] N=34: beta_assembled = 3230273927214773380003575857318881739205507773153859278544152/246832218393367488425850445512415581343817810158018263430274152828125 ; corpus = 3230273927214773380003575857318881739205507773153859278544152/246832218393367488425850445512415581343817810158018263430274152828125 ; equal = True ; pair_normal = 0 (9.3s)
[  353.9s] N=35: beta_assembled = 744688534582080121162731604195803056009095772092021253/69714916435008635885539624899467407119930311479468268524113720 ; corpus = 744688534582080121162731604195803056009095772092021253/69714916435008635885539624899467407119930311479468268524113720 ; equal = True ; pair_normal = 0 (9.2s)
[  363.4s] N=36: beta_assembled = 987241924871192534652183840693110073485064851412913103/112583609987545422325394014758066060465427778265512557482421875 ; corpus = 987241924871192534652183840693110073485064851412913103/112583609987545422325394014758066060465427778265512557482421875 ; equal = True ; pair_normal = 0 (9.5s)
[  372.6s] N=37: beta_assembled = 5517398702566853812025351972718377146749797321461069/762316120163744936044015513071704697878051829327644172605400 ; corpus = 5517398702566853812025351972718377146749797321461069/762316120163744936044015513071704697878051829327644172605400 ; equal = True ; pair_normal = 0 (9.2s)
[  381.8s] N=38: beta_assembled = 151301873327688913798350884331529697628528531568720408/25198140002768278697314409251986501695141589231123513247709175 ; corpus = 151301873327688913798350884331529697628528531568720408/25198140002768278697314409251986501695141589231123513247709175 ; equal = True ; pair_normal = 0 (9.2s)
[  391.1s] N=39: beta_assembled = 305231899048907030598095428624870969235223884478169120309/60977228721080782605152596124419051134050018592440222161500000000 ; corpus = 305231899048907030598095428624870969235223884478169120309/60977228721080782605152596124419051134050018592440222161500000000 ; equal = True ; pair_normal = 0 (9.2s)
[  400.8s] N=40: beta_assembled = 203066655594870700701212890541620194969275659172198/48438104034165200806932581927006969158873037378071722018525 ; corpus = 203066655594870700701212890541620194969275659172198/48438104034165200806932581927006969158873037378071722018525 ; equal = True ; pair_normal = 0 (9.7s)
[  410.2s] N=41: beta_assembled = 1114372232738798648937283512205814526596448860750415265592543/315999074124691265657950404443225444365832239818027299349590304000000 ; corpus = 1114372232738798648937283512205814526596448860750415265592543/315999074124691265657950404443225444365832239818027299349590304000000 ; equal = True ; pair_normal = 0 (9.4s)
[  419.7s] N=42: beta_assembled = 46664471587942130161820099292686049848139867565514328232/15665239757334414742437474243831979255820004990883186293929923575 ; corpus = 46664471587942130161820099292686049848139867565514328232/15665239757334414742437474243831979255820004990883186293929923575 ; equal = True ; pair_normal = 0 (9.5s)
[  429.5s] N=43: beta_assembled = 130660313398915702362108444155014349917227562515048956377549/51720547555887161981342232528093716838876015294890195683893954429000 ; corpus = 130660313398915702362108444155014349917227562515048956377549/51720547555887161981342232528093716838876015294890195683893954429000 ; equal = True ; pair_normal = 0 (9.8s)
[  439.0s] N=44: beta_assembled = 17836770595489289831024333859225698038423976040056082113/8293873914828143350447078194970103594473678002689106116819812500 ; corpus = 17836770595489289831024333859225698038423976040056082113/8293873914828143350447078194970103594473678002689106116819812500 ; equal = True ; pair_normal = 0 (9.4s)
[  448.3s] N=45: beta_assembled = 10759502098695116662252328194755690961621281426039155801/5855747596619340915979219909788154108183548406477359330307005960 ; corpus = 10759502098695116662252328194755690961621281426039155801/5855747596619340915979219909788154108183548406477359330307005960 ; equal = True ; pair_normal = 0 (9.3s)
[  457.7s] N=46: beta_assembled = 6321436254389800438080279423829936141383696382252411062184/4012835254840852379996783710712764088144839432255370334212917078125 ; corpus = 6321436254389800438080279423829936141383696382252411062184/4012835254840852379996783710712764088144839432255370334212917078125 ; equal = True ; pair_normal = 0 (9.3s)
